iter	Passed	Remaining
0	139	138892
1	143	71697
2	148	49279
3	152	38028
4	157	31309
5	161	26795
6	165	23545
7	170	21099
8	174	19238
9	179	17729
10	183	16519
11	188	15489
12	193	14671
13	197	13944
14	202	13295
15	206	12722
16	211	12216
17	214	11701
18	217	11234
19	220	10801
20	222	10375
21	224	9997
22	227	9644
23	229	9320
24	230	9007
25	232	8717
26	234	8447
27	236	8197
28	237	7953
29	238	7723
30	240	7509
31	241	7307
32	242	7118
33	244	6938
34	245	6765
35	246	6604
36	247	6450
37	249	6304
38	250	6166
39	251	6033
40	252	5907
41	253	5784
42	254	5668
43	255	5556
44	256	5448
45	257	5346
46	258	5249
47	259	5156
48	261	5065
49	262	4980
50	263	4897
51	264	4817
52	265	4739
53	266	4665
54	267	4593
55	268	4524
56	269	4456
57	270	4392
58	271	4328
59	272	4268
60	273	4210
61	274	4153
62	275	4099
63	276	4045
64	277	3994
65	278	3944
66	279	3896
67	280	3849
68	281	3803
69	282	3758
70	283	3714
71	284	3671
72	285	3630
73	286	3590
74	288	3558
75	289	3522
76	290	3485
77	291	3448
78	292	3414
79	293	3379
80	294	3344
81	295	3311
82	296	3275
83	297	3243
84	298	3213
85	299	3183
86	300	3153
87	301	3125
88	302	3099
89	304	3075
90	305	3048
91	306	3023
92	307	2999
93	308	2975
94	309	2951
95	310	2927
96	311	2903
97	312	2879
98	313	2857
99	314	2834
100	316	2812
101	317	2792
102	318	2772
103	319	2751
104	320	2731
105	321	2710
106	322	2692
107	323	2672
108	324	2653
109	325	2635
110	326	2617
111	327	2598
112	328	2580
113	329	2563
114	330	2545
115	331	2528
116	332	2509
117	333	2493
118	334	2476
119	335	2460
120	336	2445
121	337	2428
122	338	2413
123	339	2399
124	340	2384
125	341	2370
126	342	2354
127	343	2341
128	344	2327
129	345	2314
130	346	2300
131	347	2287
132	348	2273
133	349	2261
134	350	2248
135	352	2236
136	352	2223
137	354	2211
138	355	2199
139	356	2187
140	357	2175
141	357	2162
142	358	2151
143	360	2140
144	361	2128
145	362	2118
146	363	2106
147	364	2095
148	365	2085
149	366	2074
150	367	2064
151	368	2054
152	369	2044
153	370	2034
154	371	2024
155	372	2015
156	373	2005
157	374	1996
158	375	1987
159	376	1978
160	377	1967
161	378	1958
162	379	1949
163	380	1940
164	381	1932
165	383	1924
166	383	1915
167	385	1907
168	386	1898
169	387	1889
170	387	1880
171	388	1872
172	389	1863
173	390	1855
174	392	1848
175	392	1839
176	394	1832
177	395	1824
178	396	1816
179	397	1809
